,amount,reward_debt,address
28,0,0,0xE00e37307269Ef3262703dCE4e9286702c96473A
29,0,0,0x74F2434554066A3CE9e5e400223d74d9cB4524DF
30,19770588516629074420,799130890094246783795,0xbf95cd1F595a07Bb6E15139758213B42abaEEB02
31,0,0,0x1402a44A98fed092887D4aDE7a4dd4152F32b731
32,0,0,0x20D3cb6dFCEab6e249C15efEBe6616C935395EF4
33,0,0,0x803468A0F3c3E29451abD0ecb536d16b71DD5604
34,0,0,0xec48fd1FDe7A308619fb11De7E1940A3eFa3051E
35,0,0,0x7b344ef068cC075aaeB580848f966459333e5fA9
36,0,0,0x79D0C998171B55c1be5a47b7Bc99000e59E45A9b
37,0,0,0xABd9221a59ba5c03FdD655834F07F44818979698
38,0,0,0x043b4874C0F8CeCF9a368d3B48eD1648227a4E33
39,0,0,0xDc191d2C2faAdbb9B223F38730e9cA664CD42dCd
40,20072940178442930431,811308529059614392507,0x3c7Ac2fF76A1B4dCb2B69b1121fEF5fB8dCDEc43
41,0,-38292803520764686,0x5B655FECB44E923dC96808eaB35e95F4C915655C
42,0,0,0xFAA9f97a08446004Fd005c4e9b526c053AFd4a0B
43,0,-2259486348245776,0x94F48C248FE5e3069317e55f0a1903050EF3EC6F
44,0,0,0xbeDB9C4eB11020FDCe74A3180398228Dfd88Fb23
45,0,0,0xb642408F738C2A45eF921Fe613384D90A548bd9B
46,0,-7738839324955,0xd224352160a712457eA576f0F4CFC42DE570931b
47,0,0,0x8ba5b0a43Bb5Cb0FD54C9B51d9f6f2a35b430Dac
48,0,0,0xaAD747958F996B22F360fD1d0e3BA56eFD477C1f
49,0,0,0x2D19974AAE72EA368d9550248266BB165e5656FD
50,0,-958388683655428,0x3F070CCbA62B8BD4929e3850f6d8482753944E17
51,0,0,0xCD91519d3214dba88849263E1c4C1C6B6850f9F8
52,0,0,0xcBbCC2281fcDcc0c772a28Eb65416714fE87FA0f
53,0,0,0xC7448D4a5436b0d9338a85b1b3d143C14787a901
54,0,0,0xb2D555044CdE0a8A297F082f05ae6B1eFf663784
55,2206463284767205564783,89187659392633340031831,0x1993B688eF5F5ce61cd71cD8A8D7516A97D58681
56,0,0,0xB3BBFfb97114D79DF7Bd45808078A56053e34586
57,0,0,0x3343f1Ba0b32e6c8C8405bBea4D48c85b8B7bB58
58,0,0,0x4603C3cA080b77f8b64b9E0F8095C9c9a1cDb310
59,0,0,0x863Fe5B3CB1714e5C7ACc8De1646d33D1421E112
60,0,0,0xbE8cdC2165c0B885A0bC9D5826742937aCeFE1a1
61,0,0,0x243A8cA8045480959De84eEEB9087eA232A55B8C
62,0,0,0xDa75e21815dDEc011faB6b03DFd3305e12ee7c73
63,0,0,0xC68760a22571551d0eF81E5BeA12bd03140C6B18
64,0,0,0x51b90028c95D0962b6CdcdcFBaeaDc433d966851
65,0,0,0x2eE8F16F2b0926e32328909F5483bE799D4d7436
66,0,0,0xf0c0DE07AD331D7Fe46aB15c7a6f2859152A780d
67,0,0,0xce6Aa82e96936602063F2CC523Bb576284669159
68,0,0,0xAb61A155a4E36C1E136102816A0AF95E419ff8FD
69,0,0,0x6B16DFAb49B96109a97eDA1a122c85C0a15f146c
